,cid,text,time,author,channel,votes,photo,heart
801,UgzYm2uVB60XhGgDyF14AaABAg.9NE1HCK2Bfr9NE1JHIvm-p,Lol.. 😁😂,9 hours ago,Sravan,UCB9gXQXuzcoPj7gJ0JpdKgQ,2,https://yt3.ggpht.com/ytc/AAUvwnjUqH2w86oIiYwIJIAavXYqc61dhiNMxbsAUg7E=s176-c-k-c0x00ffffff-no-rj,False
802,UgyP8pF29SPIqTasdqJ4AaABAg,"⭐⭐⭐⭐⭐/ ⭐⭐⭐⭐⭐

- with love from Malaysia.",11 hours ago,Abrahaem Abraheam,UCWGlPuwprO_-9rlocDbAnhQ,2,https://yt3.ggpht.com/ytc/AAUvwnjiikOFpyUtnYASTB7jPlwD-cwStfTRuTSQoA=s176-c-k-c0x00ffffff-no-rj,False
803,UgwS9hBoPKBN39k_Fd94AaABAg,ஞானக் களஞ்சியமாக விளங்குகின்ற இப்பாடல் வரிகளை வடித்தெடுத்த வாழ்வியல் கவிஞனை வாழ்த்த வார்த்தைகளின்றி வறட்சியாய் நிற்கின்றேன்....,11 hours ago,Sheik Alavudheen,UCMdpe-1DdwPzkYYOPeHfB-g,3,https://yt3.ggpht.com/ytc/AAUvwnjNskOWZ4mRnadXRSlNOjzakhvxTwzi3FjSPYu_pA=s176-c-k-c0x00ffffff-no-rj,False
804,UgzEKyHnBQd2g7FC5WZ4AaABAg,https://youtu.be/gHsHkii8ss8,11 hours ago,Ramki Prabhu,UC1fCIK4NUrF27PF_3vMxxLg,0,https://yt3.ggpht.com/ytc/AAUvwnjeuGibm8ZLq6yvO9Qx1lZbI5swv05_Iv0pCitdoQ=s176-c-k-c0x00ffffff-no-rj,False
805,UgxhESiB3N_JaR-Xad94AaABAg,♡♡♡♡♡♡♡ super song  very good,11 hours ago,Danu Danu,UCpiMCk4YuJBFJDrLk3jIouw,0,https://yt3.ggpht.com/ytc/AAUvwngUJnOjlEcv4j5MWPNVawiVhM0-FxMU2AiOpg=s176-c-k-c0x00ffffff-no-rj,False
806,UgxWkA9w8BObkbG1lcB4AaABAg,Look at that girl looking amazing,11 hours ago,Shaliya Perera,UCSOi4O4iw1BKDyLdcy0hFkw,1,https://yt3.ggpht.com/ytc/AAUvwnjT96ztgPyXd17EFwj4_pjEXHHjnH-BxaixMd4GPw=s176-c-k-c0x00ffffff-no-rj,False
807,UgygCbkEJoKBt7cPFCt4AaABAg,"To everyone who doesn't understand
Pls turn on captions",11 hours ago,sugachem Sugachem,UCngjaVjQw3IZG60U7KSFlbQ,2,https://yt3.ggpht.com/ytc/AAUvwnguDYhd4zLOUbBYwtZRKohsxRcFxK1vDix3iXPW=s176-c-k-c0x00ffffff-no-rj,False
808,UgwRxBV6ufGEutzUibR4AaABAg,അടിപൊളി 😘😘😘💕💕❤️❤️❤️❤️👌👌👌👌👌👌😎😎😎😎,11 hours ago,arun unni,UC6GwmiK1eOTyHc8u2CUwwwA,1,https://yt3.ggpht.com/ytc/AAUvwngu0pgy98ecVCQN5LBwOoHeMNODoys30CdrO6E7Zg=s176-c-k-c0x00ffffff-no-rj,False
809,UgwS6fyQou6a_vASU5h4AaABAg,Make this top comment👍,11 hours ago,Dunga Hemanth,UC80467tOIL1gBb0iqpq0qeA,0,https://yt3.ggpht.com/ytc/AAUvwnglIr0XskEQzT0uf7vMGiiJoXfcRZo-q5fFpw=s176-c-k-c0x00ffffff-no-rj,False
810,Ugxw3jpC12YF4o__wDV4AaABAg,"Reasons for this song's addiction:
Dhee's innocent face with those lil expressions making to watch the video
Dhee's voice n Aruvi's rap making to listen to the audio 
and the extraordinary beat in proper sync !!!!❤️",11 hours ago,Ramisetty Srinivas,UCGY9rTvREk4h5cCt9ghABxg,0,https://yt3.ggpht.com/ytc/AAUvwni3tjP1VuGMdFV6v0BzLj_XvBLmZ06rWeBIqUK0-g=s176-c-k-c0x00ffffff-no-rj,False
